#State	Value
Massachusetts	134
Minnesota	92
Montana	69
North_Dakota	29
Idaho	68
Washington	122
Arizona	110
California	217
Colorado	116
Nevada	70
New.Mexico	84
Oregon	68
Utah	93
Wyoming	81
Arkansas	62
Iowa	56
Kansas	75
Missouri	89
Nebraska	78
Oklahoma	97
South_Dakota	55
Louisiana	135
Texas	192
Connecticut	67
New_Hampshire	75
Rhode_Island	77
Vermont	72
Alabama	77
Florida	181
Georgia	156
Mississippi	84
South_Carolina	70
Illinois	81
Indiana	74
Kentucky	81
North_Carolina	89
Ohio	96
Tennessee	91
Virginia	135
Wisconsin	90
West_Virginia	52
Delaware	56
Maryland	73
New_Jersey	102
New_York	163
Pennsylvania	120
Maine	140
Michigan	122
Hawaii	202
Alaska	199
